Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,FIPS,CBSA 2020,RUCA,FORHP/ RURAL 2022,PSF PAYMENT,POS CERTIFIED BEDS,POS TOTAL BEDS,CR ACUTE BEDS,PSF BEDS,longitude,latitude
421301,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,ABBEVILLE,SC,29620,ABBEVILLE,(864) 366-1649,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5.0,12,7,,45001,Neither,4.0,Rural,CAH,25,25,25.0,,-82.381505,34.157099
190034,ABBEVILLE GENERAL HOSPITAL,118 N HOSPITAL DR,ABBEVILLE,LA,70510,VERMILION,(337) 893-5466,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,3,0,3,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,10,,22113,Metro,2.0,Metro,PPS,76,76,44.0,42.0,-92.108029,29.97364
240057,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,HENNEPIN,(612) 863-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,1,6,0,,8,8,1,6,1,,11,11,2,7,2,,8,8,,12,10,,27053,Metro,1.0,Metro,PPS,952,996,586.0,558.0,-93.261337,44.953745
390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,ABINGTON,PA,19001,MONTGOMERY,(215) 481-2000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,,7,7,1,5,1,,8,8,1,7,0,,11,11,0,7,4,,8,8,,12,11,,42091,Metro,1.0,Metro,PPS,475,880,588.0,556.0,-75.120355,40.118622
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,(217) 732-2161,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,1,5,0,,8,8,,12,5,,17107,Micro,4.0,Rural,CAH,15,15,25.0,,-89.389379,40.153381
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,(602) 249-0212,Acute Care Hospitals,Physician,Yes,Y,,2,,7,5,0,5,0,,8,6,0,6,0,,11,6,0,6,0,,8,8,,12,8,,4013,Metro,1.0,Metro,RRC,206,206,153.0,149.0,-112.102135,33.525115
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,(602) 923-5609,Acute Care Hospitals,Proprietary,Yes,Y,,1,,7,4,0,4,0,,8,5,0,5,0,,11,6,1,3,2,,8,8,,12,8,,4013,Metro,1.0,Metro,PPS,136,136,128.0,121.0,-111.998331,33.639098
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,(623) 882-1970,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,,7,6,0,6,0,,8,7,2,5,0,,11,8,0,7,1,,8,8,,12,9,,4013,Metro,2.0,Metro,PPS,200,200,207.0,179.0,-112.352847,33.462504
191319,ACADIA ST LANDRY,810 SOUTH BROADWAY STREET,CHURCH POINT,LA,70525,ACADIA,(337) 684-5435,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,Not Available,5.0,22001,Metro,7.0,Rural,CAH,33,33,15.0,,-92.211023,30.395143
190318,ACADIAN MEDICAL CENTER,3501 HIGHWAY 190 EAST,EUNICE,LA,70535,ST. LANDRY,(337) 580-7903,Acute Care Hospitals,Proprietary,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,5,0,4,1,,8,8,,12,9,,22097,Micro,4.0,Rural,PPS,49,49,49.0,46.0,-89.688026,30.229004
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,(724) 543-8500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,2,0,2,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,10,,42005,Metro,4.0,Rural,RRC,123,154,95.0,120.0,-79.469413,40.805185
670102,"AD HOSPITAL EAST, LLC","12950 EAST FREEWAY, SUITE 100",HOUSTON,TX,77015,HARRIS,(713) 330-3897,Acute Care Hospitals,Proprietary,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,3,0,3,0,,8,Not Available,5.0,12,4,,48201,Metro,1.0,Metro,PPS,4,4,159.0,112.0,-95.173121,29.76393
161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD,IA,50849,ADAIR,(641) 743-2123,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,Not Available,5.0,12,3,,19001,Neither,10.0,Rural,CAH,25,25,25.0,,-94.451862,41.30333
